	RF	DN
1152	C3	C3
1153	C2	C2
1154	C2	C2
1155	C1	C2
1156	CNA	CNA
1157	C3	C3
1158	C2	C2
1159	C3	C3
1160	C3	C3
1161	C2	C2
1162	C3	C3
1163	CNA	C2
1164	C2	C2
1165	C1	C2
1166	C2	C2
1167	C2	C2
1168	C3	C2
1169	C3	C3
1170	C1	C2
1171	C2	C1
1172	C2	C1
1173	CNA	CNA
1174	CNA	CNA
1175	CNA	CNA
1176	C3	C3
1177	C1	C1
1178	CNA	C2
1179	C2	C1
1180	C3	C3
1181	C2	C2
1182	C2	C1
1183	C1	C2
1184	C2	C1
1185	C4	C4
1186	C1	C1
1187	C2	C2
1188	C3	C2
1189	C3	C3
1190	CNA	C2
1191	C2	C2
1192	C3	C3
1193	C3	C3
1194	CNA	C3
1195	C4	C5
1196	C3	C2
1197	C1	C2
1198	C1	C2
1199	C2	C2
1200	C3	C2
1201	C3	C3
1202	C3	C3
1203	CNA	CNA
1204	C3	C3
1205	C2	C2
1206	C2	C2
1207	C1	C1
1208	C2	C2
1209	C2	C1
1210	C3	C2
1211	C2	C2
1212	C2	C2
1213	C2	C2
1214	C3	C2
1215	C1	C2
1216	C3	C3
1217	C3	C3
1218	C3	C3
1219	C4	C4
1220	CNA	CNA
1221	C1	C6
1222	C3	C3
1223	CNA	CNA
1224	C2	C2
1225	C2	CNA
1226	C3	C3
1227	C2	C2
1228	C3	C4
1229	C1	C1
1230	C3	C3
1231	C3	C3
1232	C3	C2
1233	C2	C2
1234	C3	C4
1235	CNA	C1
1236	C3	C4
1237	C2	C2
1238	C3	C2
1239	C2	C2
1240	C2	C2
1241	C3	C3
1242	C4	C2
1243	C1	C2
1244	C2	C2
1245	C1	C4
1246	C2	C1
1247	C3	C3
1248	C3	C3
1249	CNA	C2
1250	C2	C2
1251	C3	C4
1252	CNA	CNA
1253	CNA	C2
1254	C3	C3
1255	C2	C2
1256	C4	C4
1257	C1	C2
1258	CNA	CNA
1259	C3	C3
1260	C2	C2
1261	CNA	C3
1262	C2	C2
1263	C3	C3
1264	C3	C3
1265	C3	C2
1266	C4	C3
1267	C2	C2
1268	C2	C2
1269	C3	C3
1270	C3	C3
1271	C2	C2
1272	C1	C1
1273	C3	C3
1274	CNA	CNA
1275	C1	C2
1276	C1	C2
1277	C4	C4
1278	C2	C2
1279	CNA	C1
1280	C3	C4
1281	CNA	CNA
1282	C3	C4
1283	C3	C4
1284	C2	C2
1285	CNA	CNA
1286	C1	C2
1287	C3	C2
1288	CNA	CNA
1289	C2	C2
1290	C3	C3
1291	CNA	CNA
1292	C1	C4
1293	C5	C3
1294	CNA	CNA
1295	CNA	CNA
1296	C3	C3
1297	C4	C4
1298	C3	C3
1299	C3	C4
1300	C4	C4
1301	C2	C2
1302	CNA	C3
1303	C3	C2
1304	C2	C2
1305	C1	C4
1306	C4	C4
1307	CNA	C2
1308	C1	C1
1309	C3	C2
1310	C1	C2
1311	C2	C2
1312	C3	C3
1313	C1	C2
1314	CNA	CNA
1315	C2	C2
1316	C4	C4
1317	C2	C2
1318	C3	C3
1319	C2	C2
1320	CNA	C4
1321	CNA	CNA
1322	C3	C3
1323	C3	C3
1324	C3	C3
1325	C3	C4
1326	C1	C2
1327	C3	C3
1328	C3	C3
1329	CNA	CNA
1330	CNA	CNA
1331	C2	C2
1332	C3	C3
1333	CNA	C2
1334	C2	C4
1335	C2	C2
1336	C3	C3
1337	CNA	C2
1338	C2	C2
1339	C3	C3
1340	C1	C2
1341	C3	C3
1342	C1	C1
1343	CNA	C3
1344	C3	C3
1345	C1	C2
1346	C1	C2
1347	C2	C2
1348	C2	C2
1349	C2	C2
1350	C2	C2
1351	CNA	CNA
1352	C2	C2
1353	C2	C2
1354	C3	C3
1355	C1	C1
1356	CNA	C2
1357	C1	C1
1358	C2	C2
1359	C4	C4
1360	C1	C2
1361	CNA	CNA
1362	CNA	C1
1363	C2	C2
1364	C1	C2
1365	C3	C3
1366	C1	C1
1367	C2	C2
1368	C1	C2
1369	C2	C2
1370	C4	C3
1371	CNA	C3
1372	C2	C2
1373	C3	C3
1374	C4	C5
1375	C1	C1
1376	C2	C2
1377	C4	C4
1378	C4	C3
1379	C3	C4
1380	C2	C2
1381	C3	C2
1382	C3	C1
1383	C1	C1
1384	C1	C1
1385	C2	C2
1386	C3	C2
1387	C3	C2
1388	C3	C4
1389	C2	C2
1390	C1	C1
1391	C4	C4
1392	C3	C3
1393	C1	C2
1394	C3	C2
1395	C3	C3
1396	CNA	CNA
1397	C2	C2
1398	C2	C2
1399	C2	C2
1400	C3	C3
1401	CNA	CNA
1402	C2	C2
1403	CNA	CNA
1404	C3	C3
1405	CNA	C2
1406	C2	C2
1407	C2	C2
1408	C3	C2
1409	C1	C2
1410	C2	C2
1411	CNA	C2
1412	C1	C1
1413	CNA	CNA
1414	CNA	CNA
1415	C2	C2
1416	C3	C3
1417	C2	C2
1418	C2	C2
1419	C3	C2
1420	C2	CNA
1421	C4	C4
1422	C3	C3
1423	C3	C3
1424	C2	CNA
1425	C3	C3
1426	C3	C3
1427	CNA	CNA
1428	CNA	CNA
1429	C2	C2
1430	CNA	C3
1431	C2	C2
1432	C2	C2
1433	C2	C2
1434	C3	C3
1435	C2	C2
1436	C2	CNA
1437	C4	C4
1438	CNA	C4
1439	C1	C1
1440	C3	C4
1441	CNA	C2
1442	C3	C3
1443	C2	C2
1444	C2	C2
1445	CNA	CNA
1446	C3	C3
1447	C1	C1
1448	C3	C1
1449	C2	C2
1450	CNA	C2
1451	C2	C2
1452	C2	C2
1453	C2	C2
1454	CNA	CNA
1455	C3	C4
1456	CNA	C1
1457	C2	C2
1458	C2	C2
1459	C3	C3
1460	C1	C2
1461	C3	C3
1462	C3	C6
1463	C4	C3
1464	C2	C2
1465	C3	C3
1466	C3	C3
1467	C3	C3
1468	C2	C2
1469	CNA	C1
1470	CNA	C3
1471	C3	C3
1472	C2	C2
1473	C3	C3
1474	C3	C3
1475	C2	C2
1476	C2	C2
1477	C3	C1
1478	C2	C2
1479	C2	C2
1480	C2	C2
1481	C3	C3
1482	C2	C2
1483	CNA	CNA
1484	CNA	C3
1485	C2	C2
1486	CNA	C3
1487	C3	C3
1488	C2	C2
1489	C1	C1
1490	C1	C2
1491	C2	C2
1492	C3	C3
1493	C2	C2
1494	C1	C1
1495	C3	C3
1496	C3	C4
1497	CNA	C3
1498	C2	C2
1499	CNA	CNA
1500	C4	C4
1501	C1	C2
1502	C3	C3
1503	C3	C3
1504	C1	C2
1505	C3	C3
1506	C1	C2
1507	CNA	CNA
1508	C3	C3
1509	C3	C4
1510	C3	C3
1511	C3	C4
1512	CNA	CNA
1513	CNA	CNA
1514	C1	C2
1515	CNA	C3
1516	C4	C2
1517	C3	C3
1518	C3	C2
1519	C2	C2
1520	C1	C1
